127.0.0.1 - - [23/Sep/2021:09:55:10 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:11 +0900] "GET /hoyaMall/index.jsp HTTP/1.1" 500 9122
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:11 +0900] "GET /hoyaMall/js/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC1.jpg HTTP/1.1" 200 241587
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0020.jpg HTTP/1.1" 200 76845
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0014.jpg HTTP/1.1" 200 130325
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/images/%ED%8F%AC%EC%97%90%ED%8A%B8%EB%A6%AC%20%EA%B0%80%EB%93%A0.png HTTP/1.1" 200 22181
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0011.jpg HTTP/1.1" 200 178501
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/images/close.png HTTP/1.1" 200 3858
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/images/hoya_deco.jpg HTTP/1.1" 200 104150
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:20 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC3.jpg HTTP/1.1" 200 321897
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:55:23 +0900] "GET /hoyaMall/images/%EC%95%84%ED%98%B8%EC%95%BC2.jpg HTTP/1.1" 200 303064
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:24 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/pdt_list.pdt?loginMember=null HTTP/1.1" 200 15803
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/1101pdt0011.jpg HTTP/1.1" 200 251683
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/2101pdt0017.jpg HTTP/1.1" 200 31173
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/images/soldout.png HTTP/1.1" 200 9084
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/pot21.jpg HTTP/1.1" 200 25605
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/pot43.jpg HTTP/1.1" 200 14918
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/pot51.jpg HTTP/1.1" 200 14485
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:28 +0900] "GET /hoyaMall/product/pdt_img/undulata12.jpg HTTP/1.1" 200 41341
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:57:46 +0900] "GET /hoyaMall/pdt_list.pdt?loginMember=null HTTP/1.1" 200 16009
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:03 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:10 +0900] "POST /hoyaMall/search_list.sch HTTP/1.1" 200 11643
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:18 +0900] "POST /hoyaMall/search_list.sch HTTP/1.1" 200 16319
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:32 +0900] "POST /hoyaMall/search_list.sch HTTP/1.1" 200 16319
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:38 +0900] "POST /hoyaMall/search_list.sch HTTP/1.1" 200 16319
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:40 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [23/Sep/2021:09:58:46 +0900] "GET /hoyaMall/index_view.main HTTP/1.1" 200 13377
